City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Alexandria,US,90,1540521300,87,31.31,-92.44,60.8,6.93
Ostrovnoy,RU,88,1540523312,88,68.05,39.51,31.98,13.69
Compostela,MX,40,1540518000,94,21.24,-104.9,69.8,1.95
Pacific Grove,US,1,1540521300,52,36.62,-121.92,68.0,6.93
Huangchuan,CN,75,1540519200,87,24.57,102.46,53.6,8.95
Barao de Melgaco,BR,0,1540519200,88,-16.19,-55.97,73.4,2.24
Udimskiy,RU,76,1540523314,98,61.14,45.92,30.63,4.74
Tanout,NE,0,1540523314,45,14.97,8.88,69.11,4.18
Rome,IT,20,1540520400,88,41.89,12.48,62.6,6.93
Srednekolymsk,RU,20,1540523315,69,67.46,153.71,2.01,3.4
Miraflores,CO,32,1540523316,95,5.2,-73.14,46.83,0.94
Lafiagi,NG,0,1540523317,91,8.85,5.42,75.81,5.97
Sitka,US,0,1540523317,91,37.17,-99.65,46.16,5.86
Belyy Yar,RU,88,1540521000,82,53.6,91.39,32.0,2.24
Kirakira,SB,56,1540523317,100,-10.46,161.92,81.08,6.42
Phan Thiet,VN,0,1540523275,92,10.93,108.1,84.32,7.99
Cienfuegos,CU,76,1540519080,100,22.15,-80.44,75.2,5.82
Kroya,ID,0,1540523318,68,-6.5,108.06,87.47,2.73
Kayes,ML,0,1540523318,77,14.44,-11.44,77.79,2.84
Mandalgovi,MN,0,1540523318,72,45.76,106.27,31.89,11.01
Beaupre,CA,75,1540519200,83,47.04,-70.9,32.0,9.17
Emerald,AU,0,1540523319,34,-23.53,148.16,94.58,4.63
Suihua,CN,92,1540523319,86,46.64,126.99,49.53,21.3
Beroroha,MG,0,1540523319,83,-21.68,45.17,58.44,2.62
Coolum Beach,AU,0,1540523320,43,-26.53,153.09,90.66,5.75
Port Moresby,PG,75,1540519200,62,-9.47,147.16,86.0,14.99
Tres Arroyos,AR,20,1540523320,92,-38.38,-60.28,48.54,8.66
Iberia,PE,12,1540523320,95,-11.41,-69.49,74.19,2.06
Mount Isa,AU,0,1540521000,13,-20.73,139.49,102.2,8.05
Saurimo,AO,64,1540523321,80,-9.66,20.4,66.45,2.39
Kaliganj,BD,0,1540523321,56,23.41,89.13,80.99,4.41
Sherlovaya Gora,RU,92,1540523321,83,50.53,116.31,29.73,23.2
Ubinskoye,RU,0,1540523322,74,55.31,79.68,30.63,3.96
Medina,SA,0,1540519200,44,24.47,39.61,78.8,11.41
Altamira,BR,48,1540523323,85,-3.2,-52.21,77.39,2.84
Nogales,US,1,1540519080,62,31.34,-110.94,60.8,6.93
Chernyshevskiy,RU,88,1540523323,88,63.01,112.47,25.23,8.43
Samarai,PG,44,1540523324,100,-10.62,150.67,78.56,11.45
Miandrivazo,MG,0,1540523324,88,-19.53,45.46,61.41,2.84
Sarh,TD,0,1540519200,88,9.14,18.39,73.4,2.84
Kajaani,FI,0,1540522200,86,64.22,27.73,30.2,3.36
Muli,IN,0,1540523324,64,22.62,71.45,74.28,4.63
Tual,ID,44,1540523325,95,-5.67,132.75,85.22,12.35
Igbo Ora,NG,0,1540523325,96,7.43,3.28,74.01,4.18
Bahia Blanca,AR,0,1540523136,91,-38.72,-62.27,56.24,13.47
Zhuji,CN,75,1540521000,64,29.72,120.23,71.6,13.42
Nanuque,BR,92,1540523171,97,-17.84,-40.35,73.29,6.76
Tateyama,JP,20,1540520580,35,36.66,137.31,73.4,14.99
Yaan,NG,0,1540523326,96,7.38,8.57,74.28,7.99
Mega,ET,92,1540523326,98,4.06,38.32,61.95,5.75
Antalaha,MG,68,1540523326,90,-14.9,50.28,69.29,9.66
Iwaki,JP,20,1540519200,59,37.05,140.89,60.8,4.7
Sompeta,IN,0,1540523327,41,18.93,84.6,82.61,4.18
Hay River,CA,20,1540519200,74,60.82,-115.79,37.4,10.29
Kurilsk,RU,0,1540523328,85,45.23,147.88,51.47,14.7
Maromitsa,RU,80,1540523328,100,59.87,48.01,33.6,2.95
Necochea,AR,20,1540523328,99,-38.55,-58.74,48.36,6.76
Kovdor,RU,24,1540523328,88,67.56,30.47,20.42,2.73
Kavieng,PG,80,1540523154,100,-2.57,150.8,82.2,12.24
Villamontes,BO,92,1540523329,91,-21.26,-63.47,67.53,2.62
Ginir,ET,92,1540523329,85,7.14,40.71,60.47,2.73
Challapata,BO,92,1540523329,93,-18.9,-66.78,41.61,1.39
Matara,PE,92,1540523236,90,-13.74,-72.9,45.75,1.95
Turinsk,RU,88,1540523330,66,58.04,63.7,48.68,11.23
Belomorsk,RU,80,1540523330,97,64.52,34.76,36.89,13.69
Pangoa,PE,80,1540523330,95,-12.12,-73.0,66.77,1.61
Vittorio Veneto,IT,64,1540520400,87,45.99,12.3,60.8,1.12
Killybegs,IE,68,1540523331,100,54.63,-8.45,45.89,23.76
Coihaique,CL,0,1540519200,71,-45.58,-72.07,50.0,3.36
Ulladulla,AU,75,1540519200,56,-35.36,150.48,68.0,13.87
Kudahuvadhoo,MV,92,1540523332,100,2.67,72.89,83.46,11.12
Adamas,GR,0,1540520400,57,36.73,24.43,50.0,4.7
Solsona,PH,20,1540522800,52,18.1,120.77,87.8,6.93
Lobva,RU,88,1540523332,81,59.19,60.52,50.7,8.77
Chapleau,CA,88,1540523333,99,47.85,-83.4,35.31,5.64
Kencong,ID,0,1540523333,60,-7.78,112.24,87.33,4.97
Katsuura,JP,20,1540519200,59,33.93,134.5,66.2,3.36
Egvekinot,RU,0,1540523334,71,66.32,-179.17,15.74,5.86
Strezhevoy,RU,0,1540521000,89,60.73,77.6,35.6,8.95
Waingapu,ID,12,1540523334,84,-9.65,120.26,85.44,4.41
Luang Prabang,LA,90,1540522800,78,19.89,102.14,78.8,4.7
Nelson Bay,AU,40,1540521000,64,-32.72,152.14,71.6,23.04
Porto Novo,BR,75,1540522800,94,-23.68,-45.44,68.0,2.28
Ambovombe,MG,0,1540523406,96,-25.18,46.09,67.76,11.23
Antofagasta,CL,90,1540519200,72,-23.65,-70.4,59.0,8.05
Aviles,ES,92,1540521000,93,43.55,-5.92,57.2,2.24
Nyurba,RU,80,1540523408,75,63.29,118.35,24.74,5.97
Kalmunai,LK,64,1540523409,100,7.42,81.82,78.11,4.41
Loei,TH,40,1540519200,88,17.49,101.72,80.6,4.7
Sheridan,US,1,1540521360,35,39.65,-105.03,59.0,4.63
Bowen,AU,0,1540519200,38,-20.01,148.25,89.6,4.7
Morehead,US,90,1540518780,76,38.18,-83.43,48.2,2.95
Luderitz,NA,24,1540519200,64,-26.65,15.16,68.0,2.24
Tamandare,BR,8,1540523411,94,-8.28,-70.75,76.22,2.17
Lorengau,PG,76,1540523412,100,-2.02,147.27,83.78,2.62
Hobyo,SO,76,1540523412,90,5.35,48.53,77.79,3.4
Kindu,CD,88,1540523413,97,-2.95,25.92,69.83,1.16
Lagunillas,VE,0,1540523413,100,8.5,-71.39,54.66,1.5
Port Hedland,AU,0,1540521000,27,-20.31,118.58,87.8,13.87
Bundaberg,AU,0,1540523413,84,-24.87,152.35,78.92,15.82
Flin Flon,CA,36,1540523378,86,54.77,-101.88,36.66,9.78
Sistranda,NO,75,1540522200,93,63.73,8.83,37.4,5.82
Narasannapeta,IN,0,1540523414,56,18.42,84.04,83.69,4.18
Garissa,KE,68,1540523414,97,-0.46,39.64,70.95,6.98
Halifax,CA,90,1540519200,74,44.65,-63.58,35.6,12.75
Soyo,AO,24,1540523415,98,-6.13,12.37,73.29,1.16
Luanda,AO,75,1540519200,94,-8.83,13.24,75.2,9.17
La Ciotat,FR,0,1540522800,93,43.17,5.6,60.8,3.36
Leogane,HT,76,1540523416,100,18.51,-72.63,77.12,2.73
Flinders,AU,75,1540519200,56,-34.58,150.85,68.0,13.87
Laguna,MX,20,1540518120,47,27.52,-110.01,77.0,8.05
Puerto Colombia,CO,75,1540519200,83,10.99,-74.96,82.4,9.17
Zlate Hory,CZ,32,1540523417,89,50.26,17.4,44.63,9.78
Atakpame,TG,0,1540523207,93,7.53,1.13,70.19,4.52
Selma,US,1,1540521300,49,36.57,-119.61,73.4,2.28
Saint-Augustin,FR,90,1540522800,100,44.83,-0.61,57.2,2.84
Wajir,KE,88,1540523419,98,1.75,40.07,71.36,5.97
Bonthe,SL,0,1540523420,93,7.53,-12.5,78.6,3.62
Santander,PH,20,1540522800,62,9.42,123.33,87.8,11.41
Luwuk,ID,0,1540523421,66,-0.95,122.79,88.19,6.42
Taksimo,RU,0,1540523421,51,56.36,114.84,17.94,2.84
Palmas,BR,0,1540523422,74,-10.18,-48.33,80.31,7.54
Maracaibo,CO,75,1540519200,73,3.41,-75.78,73.4,6.93
Carson City,US,1,1540522500,28,39.16,-119.77,60.8,1.5
Sur,OM,0,1540523423,92,22.57,59.53,82.29,6.31
Ambilobe,MG,12,1540523423,71,-13.19,49.05,68.79,5.3
Oistins,BB,20,1540519200,88,13.07,-59.53,77.0,3.36
Uvat,RU,8,1540523424,74,59.14,68.9,42.78,13.02
Evanston,US,90,1540522380,61,42.04,-87.69,48.2,4.7
Glendive,US,1,1540522500,42,47.11,-104.71,44.6,8.05
Temirtau,KZ,0,1540521000,92,50.05,72.96,26.6,4.47
Bodden Town,KY,20,1540522800,88,19.28,-81.25,80.6,1.05
Alofi,NU,92,1540519200,83,-19.06,-169.92,78.8,8.05
Ruda nad Moravou,CZ,92,1540523425,94,49.98,16.88,42.33,6.76
Along,IN,0,1540523425,47,28.17,94.8,67.8,1.95
Hervey Bay,AU,0,1540523426,78,-25.3,152.85,79.5,13.02
Rio Grande,BR,80,1540523426,97,-32.03,-52.1,65.42,4.52
Burnie,AU,32,1540523426,100,-41.05,145.91,55.43,16.26
Kilindoni,TZ,64,1540523427,100,-7.91,39.67,78.69,14.25
Katherine,AU,40,1540521000,32,-14.47,132.26,96.8,8.05
Mattru,SL,8,1540523427,93,7.62,-11.83,74.42,2.39
Sibolga,ID,80,1540523141,94,1.74,98.78,74.78,2.28
Pochutla,MX,40,1540518480,88,15.74,-96.47,82.4,2.84
Manbij,SY,75,1540520400,87,36.53,37.96,53.6,8.05
Sijunjung,ID,80,1540523428,99,-0.69,100.95,75.0,2.73
Plettenberg Bay,ZA,44,1540523428,96,-34.05,23.37,62.72,4.18
Boyolangu,ID,0,1540523428,60,-8.09,111.9,87.33,4.97
Lumberton,US,90,1540522500,77,30.27,-94.2,62.6,8.05
Victoria Point,AU,20,1540521000,69,-27.58,153.3,93.2,14.99
Katghora,IN,0,1540523429,56,22.51,82.55,74.01,4.29
Rockhampton,AU,0,1540521000,26,-23.38,150.51,95.0,4.7
Vostok,RU,68,1540523430,59,46.45,135.83,45.84,3.29
Peshkopi,AL,0,1540522200,75,41.68,20.43,41.0,3.36
Novogurovskiy,RU,44,1540523430,87,54.47,37.34,30.59,6.64
Tabou,CI,48,1540523430,100,4.42,-7.36,79.37,4.63
Ushtobe,KZ,0,1540523431,61,45.25,77.98,40.04,2.84
Rocha,UY,80,1540523431,84,-34.48,-54.34,58.22,4.07
Jalali,IN,20,1540523431,54,29.76,79.34,52.73,2.62
Buala,SB,88,1540523431,82,-8.15,159.59,86.16,6.64
San Ramon de la Nueva Oran,AR,88,1540523432,97,-23.13,-64.33,69.83,6.64
Ambulu,ID,0,1540523432,86,-8.35,113.61,81.93,5.41
Mayumba,GA,12,1540523433,97,-3.44,10.65,75.99,3.62
Dunedin,NZ,56,1540523218,86,-45.87,170.5,51.02,7.54
Ambon,FR,90,1540522800,100,47.55,-2.56,42.8,2.24
Voh,NC,32,1540523438,91,-20.95,164.69,77.88,8.77
Alyangula,AU,0,1540523294,74,-13.85,136.42,90.62,13.47
Shumskiy,RU,76,1540523388,65,54.83,99.13,36.98,6.76
Gravdal,NO,8,1540522200,86,59.79,5.78,41.0,4.7
